Id,Male,Age,Debt,Married,BankCustomer,EducationLevel,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,Citizen,Income,Category
487,1,24.5,13.335,2,2,0,7,0.04,0,0,0,0,475,1
424,1,33.67,2.165,1,0,1,7,1.5,0,0,0,1,0,1
608,1,31.56817109144546,0.04,2,2,3,7,4.25,0,0,0,0,0,1
61,1,31.67,16.165,1,0,3,7,3.0,1,1,9,0,730,0
631,0,27.25,0.29,1,0,9,3,0.125,0,1,1,0,108,1
501,1,39.0,5.0,1,0,2,7,3.5,1,1,10,0,0,0
29,1,42.08,1.04,1,0,12,7,5.0,1,1,6,0,10000,0
181,0,21.25,2.335,1,0,6,0,0.5,1,1,4,2,0,0
412,0,22.67,0.79,1,0,6,7,0.085,0,0,0,0,0,1
467,0,30.42,1.375,1,0,12,3,0.04,0,1,3,0,33,1
490,0,47.25,0.75,1,0,10,3,2.75,1,1,1,0,892,0
431,1,22.92,3.165,2,2,1,7,0.165,0,0,0,0,1058,1
420,1,35.0,2.5,1,0,6,7,1.0,0,0,0,0,0,1
363,1,16.92,0.335,2,2,8,7,0.29,0,0,0,2,0,1
338,0,33.25,3.0,2,2,0,7,2.0,0,0,0,0,0,1
377,1,20.67,0.835,2,2,1,7,2.0,0,0,0,2,0,1
425,1,24.58,1.25,1,0,1,7,0.25,0,0,0,0,0,1
599,1,20.5,2.415,1,0,1,7,2.0,1,1,11,0,3000,0
357,0,19.5,0.165,1,0,10,7,0.04,0,0,0,0,0,1
215,1,48.17,3.5,1,0,0,7,3.5,1,0,0,2,0,0
629,0,19.58,0.665,1,0,12,7,1.665,0,0,0,0,5,1
390,1,15.17,7.0,1,0,4,7,1.0,0,0,0,0,0,1
174,1,22.67,10.5,1,0,10,3,1.335,1,0,0,0,0,0
647,1,24.08,9.0,1,0,0,7,0.25,0,0,0,0,0,1
163,1,32.0,1.75,2,2,4,3,0.04,1,0,0,0,0,0
380,1,43.17,5.0,1,0,6,0,2.25,0,0,0,0,0,1
603,1,20.08,0.25,1,0,10,7,0.125,0,0,0,0,0,1
432,1,21.83,1.54,1,0,8,7,0.085,0,0,0,0,0,1
340,0,39.08,4.0,1,0,1,7,3.0,0,0,0,0,0,1
275,1,18.58,5.71,1,0,3,7,0.54,0,0,0,0,0,1
482,0,17.33,9.5,1,0,0,7,1.75,0,1,10,0,10,1
104,1,27.83,4.0,2,2,6,3,5.75,1,1,2,0,0,1
114,1,20.67,1.25,2,2,1,3,1.375,1,1,3,0,210,1
618,1,29.58,4.75,1,0,9,7,2.0,0,1,1,0,68,1
208,1,35.17,2.5,1,0,8,7,4.5,1,1,7,0,1270,0
260,1,32.75,2.335,1,0,3,3,5.75,0,0,0,0,0,1
92,1,31.56817109144546,5.0,2,2,0,7,8.5,1,0,0,0,0,1
7,0,22.92,11.585,1,0,2,7,0.04,1,0,0,0,1349,0
89,0,49.0,1.5,1,0,7,4,0.0,1,0,0,0,27,1
522,1,22.83,3.0,1,0,9,7,1.29,1,1,1,0,800,0
395,0,33.08,1.625,1,0,3,7,0.54,0,0,0,0,0,1
515,1,31.56817109144546,10.5,1,0,13,7,6.5,1,0,0,0,0,0
367,1,39.42,1.71,2,2,9,7,0.165,0,0,0,2,0,1
539,1,80.25,5.5,1,0,1,7,0.54,1,0,0,0,340,1
204,1,36.33,2.125,2,2,12,7,0.085,1,1,1,0,1187,0
140,0,31.25,3.75,1,0,2,3,0.625,1,1,9,0,0,0
28,1,57.42,8.5,1,0,4,3,7.0,1,1,3,0,0,0
43,1,39.58,13.915,1,0,12,7,8.625,1,1,6,0,0,0
42,1,29.67,1.415,1,0,12,3,0.75,1,1,1,0,100,0
73,1,44.25,0.5,1,0,9,7,10.75,1,0,0,2,0,1
167,0,32.33,0.54,1,0,2,7,0.04,1,0,0,0,11177,0
209,1,39.5,4.25,1,0,1,0,6.5,1,1,16,0,1210,0
601,1,42.25,1.75,2,2,1,7,0.0,0,0,0,0,1,1
66,0,36.0,1.0,1,0,1,7,2.0,1,1,11,0,456,0
11,1,29.92,1.835,1,0,1,3,4.335,1,0,0,0,200,0
674,0,37.33,2.5,1,0,6,3,0.21,0,0,0,0,246,1
559,0,22.83,2.29,1,0,10,3,2.29,1,1,7,0,2384,0
178,0,18.42,9.25,1,0,10,7,1.21,1,1,4,0,540,0
265,1,17.08,0.085,2,2,1,7,0.04,0,0,0,0,722,1
352,1,22.5,11.5,2,2,9,7,1.5,0,0,0,0,4000,1
529,1,43.25,25.21,1,0,10,3,0.21,1,1,1,0,90,1
409,1,17.08,0.25,1,0,10,7,0.335,0,1,4,0,8,1
588,1,26.67,1.75,2,2,1,7,1.0,1,1,5,0,5777,0
177,0,26.08,8.665,1,0,0,7,1.415,1,0,0,0,150,0
449,1,20.0,7.0,1,0,1,7,0.5,0,0,0,0,0,1
656,1,25.67,3.25,1,0,1,3,2.29,0,1,1,0,21,1
83,0,31.56817109144546,3.5,1,0,3,7,3.0,1,0,0,0,0,1
447,0,27.33,1.665,1,0,5,2,0.0,0,0,0,0,1,1
349,1,27.83,1.5,1,0,12,7,2.25,0,1,1,0,3,1
453,1,29.75,0.665,1,0,12,7,0.25,0,0,0,0,0,1
79,1,21.5,9.75,1,0,1,7,0.25,1,0,0,0,0,1
23,0,27.42,14.5,1,0,13,3,3.085,1,1,1,0,11,0
15,1,36.67,4.415,2,2,8,7,0.25,1,1,10,0,0,0
375,0,20.83,0.5,2,2,4,1,1.0,0,0,0,0,0,1
234,0,58.42,21.0,1,0,6,0,10.0,1,1,13,0,6700,0
644,1,36.17,0.42,2,2,12,7,0.29,0,0,0,0,2,1
271,1,32.33,2.5,1,0,1,7,1.25,0,0,0,0,0,1
311,1,19.0,1.75,2,2,1,7,2.335,0,0,0,0,6,1
382,0,24.33,2.5,2,2,6,0,4.5,0,0,0,0,456,1
137,1,33.58,2.75,1,0,9,7,4.25,1,1,6,0,0,0
346,1,32.25,1.5,1,0,1,7,0.25,0,0,0,0,122,1
326,1,30.17,1.085,2,2,1,7,0.04,0,0,0,0,179,1
33,0,36.75,5.125,1,0,4,7,5.0,1,0,0,0,4000,0
426,0,27.67,2.04,1,0,12,7,0.25,0,0,0,0,50,1
477,1,39.17,2.5,2,2,6,3,10.0,0,0,0,2,0,1
9,1,42.5,4.915,2,2,12,7,3.165,1,0,0,0,1442,0
22,0,47.75,8.0,1,0,1,7,7.875,1,1,6,0,1260,0
300,0,57.58,2.0,1,0,5,2,6.5,0,1,1,0,10,1
221,1,65.42,11.0,1,0,4,8,20.0,1,1,7,0,0,0
398,1,26.17,12.5,2,2,8,3,1.25,0,0,0,0,17,1
675,0,41.58,1.04,1,0,0,7,0.665,0,0,0,0,237,1
550,1,76.75,22.29,1,0,4,8,12.75,1,1,1,0,109,0
84,1,27.25,0.625,1,0,0,7,0.455,1,0,0,0,0,1
331,0,33.25,2.5,2,2,1,7,2.5,0,0,0,0,2,1
332,1,34.08,2.5,1,0,1,7,1.0,0,0,0,0,16,1
578,1,39.17,1.625,1,0,1,7,1.5,1,1,10,0,4700,0
259,0,24.5,1.75,2,2,1,7,0.165,0,0,0,0,0,1
203,0,20.75,10.25,1,0,10,7,0.71,1,1,2,0,0,0
196,1,33.17,3.165,2,2,13,7,3.165,1,1,3,0,0,0
651,0,15.83,7.625,1,0,10,7,0.125,0,1,1,0,160,1
513,1,20.25,9.96,1,0,4,1,0.0,1,0,0,0,0,0
393,1,24.75,0.54,1,0,9,7,1.0,0,0,0,0,1,1
93,1,52.33,1.375,2,2,1,3,9.46,1,0,0,0,100,1
623,1,18.83,0.0,1,0,10,7,0.665,0,0,0,0,1,1
291,0,18.25,10.0,1,0,12,7,1.0,0,1,1,0,1,1
299,1,22.17,12.125,1,0,1,7,3.335,0,1,2,0,173,1
369,1,21.42,0.75,2,2,11,5,0.75,0,0,0,0,2,1
184,0,22.42,5.665,1,0,10,7,2.585,1,1,7,0,3257,0
567,0,25.17,2.875,1,0,13,3,0.875,1,0,0,0,0,0
290,1,23.0,0.75,1,0,9,7,0.5,0,0,0,2,0,1
153,1,23.08,2.5,1,0,1,7,1.085,1,1,11,0,2184,0
75,1,20.67,5.29,1,0,10,7,0.375,1,1,1,0,0,1
328,1,34.83,2.5,2,2,12,7,3.0,0,0,0,2,0,1
68,1,19.42,6.5,1,0,12,3,1.46,1,1,7,0,2954,0
533,1,40.92,0.835,1,0,5,2,0.0,1,0,0,0,1,1
188,0,28.67,1.04,1,0,1,7,2.5,1,1,5,0,1430,0
236,1,26.17,0.25,1,0,6,0,0.0,1,0,0,0,0,0
88,1,34.0,4.5,1,0,0,7,1.0,1,0,0,0,0,1
581,1,41.0,0.04,1,0,4,7,0.04,0,1,1,2,0,0
117,1,52.5,6.5,1,0,8,7,6.29,1,1,15,0,11202,0
125,1,34.92,5.0,1,0,13,3,7.5,1,1,6,0,1000,0
637,1,19.5,9.585,1,0,0,7,0.79,0,0,0,0,350,1
238,1,42.83,4.625,1,0,10,7,4.58,1,0,0,2,0,0
0,1,30.83,0.0,1,0,12,7,1.25,1,1,1,0,0,0
682,1,17.08,3.29,1,0,6,7,0.335,0,0,0,0,2,1
548,1,33.17,1.0,1,0,13,7,0.75,1,1,7,0,4071,0
468,1,22.08,2.335,1,0,8,7,0.75,0,0,0,0,0,1
417,1,23.58,1.79,1,0,1,7,0.54,0,0,0,0,1,1
116,1,37.75,7.0,1,0,10,3,11.5,1,1,7,0,5,1
228,1,19.67,0.375,1,0,10,7,2.0,1,1,2,0,0,0
306,1,23.5,2.75,1,0,5,2,4.5,0,0,0,0,25,1
589,1,25.33,0.58,1,0,1,7,0.29,1,1,7,0,5124,0
274,1,30.67,2.5,1,0,2,3,2.25,0,0,0,2,0,1
436,1,19.58,0.585,1,0,5,2,0.0,0,1,3,0,769,1
144,1,27.25,1.665,1,0,2,3,5.085,1,1,9,0,827,0
542,1,19.67,10.0,2,2,8,3,0.835,1,0,0,0,0,1
633,1,32.42,2.165,2,2,8,2,0.0,0,0,0,0,0,1
622,0,25.58,0.0,1,0,1,7,0.0,0,0,0,1,0,0
605,0,29.58,1.75,2,2,8,7,1.25,0,0,0,0,0,1
268,1,59.67,1.54,1,0,10,7,0.125,1,0,0,0,0,0
678,0,17.92,10.21,1,0,5,2,0.0,0,0,0,0,50,1
46,0,41.0,2.04,2,2,10,3,0.125,1,1,23,0,1236,0
261,0,52.17,0.0,2,2,5,2,0.0,0,0,0,0,0,1
195,1,28.25,5.04,2,2,1,0,1.5,1,1,8,0,7,0
689,1,35.0,3.375,1,0,1,3,8.29,0,0,0,0,0,1
574,0,20.33,10.0,1,0,1,3,1.0,1,1,4,0,1465,0
107,0,25.0,11.0,2,2,0,7,4.5,1,0,0,0,0,1
538,1,34.25,1.75,1,0,12,0,0.25,1,0,0,0,0,1
514,1,22.67,2.54,2,2,1,3,2.585,1,0,0,0,0,0
319,1,36.75,0.125,2,2,1,7,1.5,0,0,0,0,113,0
100,1,37.5,1.75,2,2,1,0,0.25,1,0,0,0,400,1
457,1,29.67,0.75,2,2,1,7,0.04,0,0,0,0,0,1
615,1,29.42,1.25,1,0,1,3,0.25,0,1,2,0,108,1
329,1,31.56817109144546,4.0,2,2,6,7,0.085,0,0,0,0,0,1
179,1,20.17,8.17,1,0,0,7,1.96,1,1,14,0,158,0
304,0,24.75,13.665,1,0,10,3,1.5,0,0,0,0,1,1
344,1,38.92,1.75,1,0,8,7,0.5,0,0,0,0,2,1
149,0,52.83,15.0,1,0,1,7,5.5,1,1,14,0,2200,0
124,0,23.5,9.0,1,0,10,7,8.5,1,1,5,0,0,0
545,1,44.25,11.0,2,2,3,7,1.5,1,0,0,2,0,1
596,0,46.08,3.0,1,0,1,7,2.375,1,1,8,0,4159,0
185,1,48.75,8.5,1,0,1,3,12.5,1,1,9,0,1655,0
422,1,29.42,1.25,1,0,12,7,1.75,0,0,0,0,0,1
388,1,26.67,14.585,1,0,6,0,0.0,0,0,0,0,0,1
680,1,19.5,0.29,1,0,8,7,0.29,0,0,0,0,364,1
632,0,38.75,1.5,1,0,5,2,0.0,0,0,0,0,0,1
635,1,18.17,2.46,1,0,1,5,0.96,0,1,2,0,587,1
142,1,43.0,0.29,2,2,2,3,1.75,1,1,8,0,375,0
141,0,56.5,16.0,1,0,7,2,0.0,1,1,15,0,247,0
626,1,22.0,7.835,2,2,6,0,0.165,0,0,0,0,0,1
19,0,19.17,8.585,1,0,2,3,0.75,1,1,7,0,0,0
172,1,56.0,12.5,1,0,8,3,8.0,1,0,0,0,2028,0
557,0,32.17,1.46,1,0,12,7,1.085,1,1,16,0,2079,0
312,0,16.33,0.21,1,0,0,7,0.125,0,0,0,0,1,1
641,1,33.17,2.25,2,2,2,7,3.5,0,0,0,0,141,1
12,0,38.25,6.0,1,0,8,7,1.0,1,0,0,0,0,0
305,1,48.75,26.335,2,2,5,2,0.0,1,0,0,0,0,1
25,0,15.83,0.585,1,0,1,3,1.5,1,1,2,0,0,0
512,0,44.33,0.0,1,0,1,7,2.5,1,0,0,0,0,0
169,1,37.5,1.125,2,2,3,7,1.5,0,0,0,0,0,0
532,1,43.17,2.25,1,0,6,0,0.75,1,0,0,0,0,1
408,1,16.0,3.125,1,0,12,7,0.085,0,1,1,0,6,1
245,1,33.17,3.04,2,2,1,3,2.04,1,1,1,0,18027,0
298,1,16.33,2.75,1,0,0,7,0.665,0,1,1,0,21,1
428,1,49.17,2.29,1,0,5,2,0.29,0,0,0,0,3,1
272,1,18.08,6.75,2,2,9,7,0.04,0,0,0,0,0,1
154,1,32.75,1.5,1,0,2,3,5.5,1,1,3,0,0,0
126,1,47.67,2.5,1,0,9,0,2.5,1,1,12,0,2510,0
464,0,23.0,1.835,1,0,7,4,0.0,0,1,1,0,53,1
287,1,29.5,0.58,1,0,12,7,0.29,0,1,1,0,2803,1
113,0,33.75,0.75,1,0,8,0,1.0,1,1,3,0,0,1
362,1,26.83,0.54,1,0,8,2,0.0,0,0,0,0,0,1
173,0,49.83,13.585,1,0,8,3,8.5,1,0,0,0,0,0
350,0,26.17,2.0,1,0,7,4,0.0,0,0,0,0,1,1
57,1,44.33,0.5,1,0,6,3,5.0,1,0,0,0,0,0
437,0,53.33,0.165,1,0,5,2,0.0,0,0,0,2,27,1
222,0,17.58,9.0,1,0,0,7,1.375,1,0,0,0,0,0
280,1,21.17,0.875,2,2,1,3,0.25,0,0,0,0,204,1
17,0,23.25,5.875,1,0,10,7,3.17,1,1,10,0,245,0
399,1,31.0,2.085,1,0,1,7,0.085,0,0,0,0,0,1
322,0,33.67,0.375,1,0,2,7,0.375,0,0,0,0,44,0
255,1,18.17,10.25,1,0,1,3,1.085,0,0,0,0,13,1
411,1,25.17,3.0,1,0,1,7,1.25,0,1,1,0,22,1
660,1,22.25,9.0,1,0,0,7,0.085,0,0,0,0,0,1
190,1,21.33,10.5,1,0,1,7,3.0,1,0,0,0,0,0
465,0,27.58,3.0,1,0,9,7,2.79,0,1,1,0,10,1
607,1,32.33,3.5,1,0,8,7,0.5,0,0,0,0,0,1
591,1,27.0,0.75,1,0,1,3,4.25,1,1,3,0,150,0
94,1,28.75,1.5,2,2,1,7,1.5,1,0,0,0,225,1
180,1,47.67,0.29,1,0,1,0,15.0,1,1,20,0,15000,0
301,1,18.25,0.165,1,0,3,7,0.25,0,0,0,2,0,1
429,1,33.58,0.335,2,2,2,7,0.085,0,0,0,0,0,1
503,1,28.25,5.125,1,0,13,7,4.75,1,1,2,0,7,0
448,1,31.25,1.125,1,0,5,2,0.0,0,1,1,0,19,1
445,0,31.56817109144546,11.25,1,0,5,2,0.0,0,0,0,0,5200,1
473,1,19.17,4.0,2,2,6,7,1.0,0,0,0,0,1000,1
5,1,32.08,4.0,1,0,9,7,2.5,1,0,0,0,0,0
45,1,54.33,6.75,1,0,1,3,2.625,1,1,11,0,284,0
570,1,59.5,2.75,1,0,12,7,1.75,1,1,5,0,58,0
519,1,39.17,1.71,1,0,13,7,0.125,1,1,5,0,0,0
171,1,41.33,0.0,1,0,1,0,15.0,1,0,0,0,0,0
16,1,28.25,0.875,1,0,9,7,0.96,1,1,3,0,0,0
48,1,41.5,1.54,1,0,6,0,3.5,0,0,0,0,0,0
666,0,21.75,11.75,1,0,1,7,0.25,0,0,0,0,0,1
630,0,22.92,1.25,1,0,10,7,0.25,0,0,0,0,809,1
3,1,27.83,1.54,1,0,12,7,3.75,1,1,5,0,3,0
443,1,17.25,3.0,1,0,8,7,0.04,0,0,0,0,40,1
627,1,36.08,2.54,1,0,5,2,0.0,0,0,0,0,1000,1
316,1,21.17,0.25,2,2,1,3,0.25,0,0,0,0,204,1
634,0,23.75,0.71,1,0,12,7,0.25,0,1,1,0,4,1
283,0,16.5,1.25,1,0,10,7,0.25,0,1,1,0,98,1
494,0,18.83,4.415,2,2,1,3,3.0,1,0,0,0,0,0
285,1,17.58,10.0,1,0,12,3,0.165,0,1,1,0,1,1
434,1,58.58,2.71,1,0,1,7,2.415,0,0,0,0,0,1
225,1,23.25,4.0,1,0,1,0,0.25,1,0,0,0,0,0
26,0,47.0,13.0,1,0,6,0,5.165,1,1,9,0,0,0
541,1,42.75,3.0,1,0,6,0,1.0,1,0,0,0,200,1
263,0,20.42,10.5,2,2,13,3,0.0,0,0,0,0,32,1
50,0,25.75,0.5,1,0,1,3,0.875,1,0,0,0,0,0
364,1,24.42,2.0,1,0,4,1,0.165,0,1,2,0,1300,1
229,1,22.08,11.0,1,0,2,7,0.665,1,0,0,0,0,0
37,0,23.0,11.75,1,0,13,3,0.5,1,1,2,0,551,0
157,0,68.67,15.0,1,0,4,8,0.0,1,1,14,0,3376,0
237,1,21.33,7.5,1,0,0,7,1.415,1,1,1,0,9800,0
672,0,50.25,0.835,1,0,0,7,0.5,0,0,0,0,117,1
374,1,28.17,0.585,1,0,0,7,0.04,0,0,0,0,1004,1
370,1,33.0,2.5,2,2,12,7,7.0,0,0,0,0,0,1
175,1,27.0,1.5,2,2,12,7,0.375,1,0,0,0,1065,0
582,1,48.5,4.25,1,0,9,7,0.125,1,0,0,0,0,0
547,1,23.92,1.5,1,0,3,3,1.875,1,1,6,0,327,0
506,0,18.92,9.0,1,0,0,7,0.75,1,1,2,0,591,0
194,1,34.5,4.04,2,2,6,0,8.5,1,1,7,0,0,0
584,0,28.08,15.0,2,2,4,8,0.0,1,0,0,0,13212,0
593,1,34.17,5.25,1,0,12,7,0.085,0,0,0,0,6,0
430,1,51.83,3.0,2,2,5,2,1.5,0,0,0,0,4,1
439,1,25.92,0.875,1,0,8,7,0.375,0,1,2,0,3,1
653,1,21.5,11.5,1,0,6,7,0.5,1,0,0,0,68,1
665,1,31.83,0.04,2,2,9,7,0.04,0,0,0,0,0,1
571,1,21.0,3.0,2,2,3,7,1.085,1,1,8,0,1,0
590,1,30.17,6.5,1,0,2,7,3.125,1,1,8,0,1200,0
67,1,25.5,0.375,1,0,9,7,0.25,1,1,3,0,15108,0
688,1,17.92,0.205,1,0,0,7,0.04,0,0,0,0,750,1
168,1,36.67,3.25,1,0,10,3,9.0,1,0,0,0,639,0
528,0,55.75,7.08,1,0,8,3,6.75,1,1,3,0,50,1
162,1,25.08,1.71,1,0,13,7,1.665,1,1,1,0,20,0
309,0,31.75,3.0,2,2,7,4,0.0,0,0,0,0,20,1
193,1,22.67,1.585,2,2,12,7,3.085,1,1,6,0,0,0
470,0,21.92,11.665,1,0,8,3,0.085,0,0,0,0,5,1
